annee_consommation,zone_climatique,code_region,code_departement,nom_commune,nombre_declaration,surface_declaree,consommation_declaree,vecteur_energie
Année de référence,H1a,11,91,CERNY,3,6082,1001475,Electricite
Année de référence,H1a,11,91,CERNY,3,6082,1001475,Gaz
Année de référence,H1a,11,91,CHAMARANDE,3,3913,1586548,Non spécifié
Année de référence,H1a,11,91,CORBEIL ESSONNES,58,124875,28372567,Electricite
Année de référence,H1a,11,91,CORBEIL ESSONNES,58,124875,28372567,Gaz
Année de référence,H1a,11,91,CROSNE,4,16867,4401447,Electricite
Année de référence,H1a,11,91,CROSNE,4,16867,4401447,Gaz
Année de référence,H1a,11,91,DOURDAN,19,53113,10909183,Electricite
Année de référence,H1a,11,91,DOURDAN,19,53113,10909183,Gaz
Année de référence,H1a,11,91,DRAVEIL,30,99284,33887322,Electricite
Année de référence,H1a,11,91,DRAVEIL,30,99284,33887322,Gaz
Année de référence,H1a,11,91,EGLY,9,19028,3001824,Electricite
Année de référence,H1a,11,91,EGLY,9,19028,3001824,Gaz
Année de référence,H1a,11,91,EPINAY SOUS SENART,13,38001,4421336,Electricite
Année de référence,H1a,11,91,EPINAY SOUS SENART,13,38001,4421336,Gaz
