annee_consommation,zone_climatique,nom_region,nom_departement,nom_commune,nombre_declaration,surface_declaree,consommation_declaree,vecteur_energie
2021,H1c,Nouvelle-Aquitaine,Creuse,EVAUX LES BAINS,4,14484,1858582,Electricite
2021,H1c,Nouvelle-Aquitaine,Dordogne,TERRASSON LAVILLEDIEU,3,2077,643676,Inconnu
2021,H1c,Nouvelle-Aquitaine,Gironde,PESSAC,3,3867,183270,Electricite
2021,H1c,Auvergne-Rhône-Alpes,Ain,CHAZEY BONS,3,7512,1304302,Electricite
2021,H1c,Auvergne-Rhône-Alpes,Ain,NEYRON,5,2925,251272,Electricite
2021,H1c,Auvergne-Rhône-Alpes,Ain,VONNAS,3,9145,1717181,Inconnu
2021,H1c,Auvergne-Rhône-Alpes,Cantal,ANDELAT,7,8215,858008,Electricite
2021,H1c,Auvergne-Rhône-Alpes,Loire,UNIEUX,3,10177,1125079,Inconnu
2021,H1c,Auvergne-Rhône-Alpes,Haute-Loire,COHADE,3,7124,1206613,Inconnu
2021,H1c,Auvergne-Rhône-Alpes,Puy-de-Dôme,JOB,4,5176,980167,Inconnu
2021,H1c,Auvergne-Rhône-Alpes,Savoie,DULLIN,3,1026,70939,Electricite
2021,H1c,Auvergne-Rhône-Alpes,Savoie,NOVALAISE,5,10835,2001385,Inconnu
2021,H1c,Auvergne-Rhône-Alpes,Savoie,TOURS EN SAVOIE,3,2786,401120,Electricite
2021,H1c,Auvergne-Rhône-Alpes,Haute-Savoie,BONNE,5,13414,3112065,Inconnu
2021,H1c,Auvergne-Rhône-Alpes,Haute-Savoie,VIUZ EN SALLAZ,3,10271,1467700,Inconnu
2021,H1c,Provence-Alpes-Côte d'Azur,Hautes-Alpes,LA SAULCE,3,5819,439960,Electricite
2021,H1c,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,AUBAGNE,3,3400,281804,Electricite
2021,H1c,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,MARSEILLE 03,3,553,36748,Electricite
2021,H2a,Normandie,Manche,QUETTREVILLE SUR SIENNE,4,1304,37193,Inconnu
2021,H2a,Normandie,Manche,TOLLEVAST,7,17585,1772455,Electricite
2021,H2a,Normandie,Manche,TREAUVILLE,5,1314,95366,Electricite
2021,H2a,Bretagne,Côtes-d'Armor,MATIGNON,3,8958,2057235,Inconnu
2021,H2a,Bretagne,Côtes-d'Armor,PLESTAN,5,21413,3959230,Electricite
2021,H2a,Bretagne,Côtes-d'Armor,SAINT NICOLAS DU PELEM,3,7502,1419369,Inconnu
2021,H2a,Bretagne,Finistère,LANDUDEC,7,4134,1021428,Electricite
2021,H2a,Bretagne,Finistère,LANRIVOARE,3,5375,187179,Electricite
2021,H2a,Bretagne,Finistère,LOCRONAN,3,1950,129783,Electricite
2021,H2a,Bretagne,Finistère,PLUGUFFAN,4,4164,361199,Electricite
2021,H2a,Bretagne,Finistère,SAINT DIVY,3,7356,729778,Inconnu
2021,H2a,Bretagne,Ille-et-Vilaine,SAINT BRIAC SUR MER,4,4343,586736,Inconnu
2021,H2a,Bretagne,Morbihan,ALLAIRE,3,7223,1135444,Inconnu
2021,H2a,Bretagne,Morbihan,CRACH,3,6476,1750970,Inconnu
2021,H2a,Bretagne,Morbihan,LE PALAIS,3,5739,1111884,Electricite
2021,H2b,Île-de-France,Paris,PARIS 15,3,2185,93639,Electricite
2021,H2b,Île-de-France,Hauts-de-Seine,PUTEAUX,12,103050,1913911,Electricite
2021,H2b,Centre-Val de Loire,Cher,SANCERRE,3,10812,1645244,Inconnu
2021,H2b,Centre-Val de Loire,Indre-et-Loire,NAZELLES NEGRON,3,3523,428078,Electricite
2021,H2b,Pays de la Loire,Loire-Atlantique,LEGE,7,11624,648671,Electricite
2021,H2b,Pays de la Loire,Loire-Atlantique,MOUZEIL,6,4086,238912,Electricite
2021,H2b,Pays de la Loire,Mayenne,CHARCHIGNE,3,4112,566473,Electricite
2021,H2b,Pays de la Loire,Sarthe,ECOMMOY,3,25599,3587846,Inconnu
2021,H2b,Pays de la Loire,Sarthe,SAINTE JAMME SUR SARTHE,5,19213,3064842,Inconnu
2021,H2b,Pays de la Loire,Vendée,BOURNEZEAU,4,8711,2378580,Inconnu
2021,H2b,Pays de la Loire,Vendée,GRAND LANDES,7,1899,161769,Electricite
2021,H2b,Pays de la Loire,Vendée,LA GENETOUZE,4,2348,153972,Electricite
2021,H2b,Pays de la Loire,Vendée,MACHE,4,12347,548280,Electricite
2021,H2b,Pays de la Loire,Vendée,SAINT PROUANT,5,19180,3353911,Inconnu
2021,H2b,Bretagne,Ille-et-Vilaine,CESSON SEVIGNE,5,1811,80574,Electricite
2021,H2b,Nouvelle-Aquitaine,Charente,LINARS,3,7393,1123963,Inconnu
2021,H2b,Nouvelle-Aquitaine,Charente-Maritime,ECHILLAIS,3,9970,707769,Electricite
2021,H2b,Nouvelle-Aquitaine,Charente-Maritime,SAINT SAUVEUR D AUNIS,3,7721,580356,Electricite
2021,H2b,Nouvelle-Aquitaine,Charente-Maritime,SAINTE SOULLE,3,14975,1870899,Electricite
2021,H2b,Nouvelle-Aquitaine,Deux-Sèvres,FRESSINES,5,2660,239135,Electricite
2021,H2b,Nouvelle-Aquitaine,Vienne,BONNEUIL MATOURS,3,1718,118025,Electricite
2021,H2b,Nouvelle-Aquitaine,Vienne,SAINT GENEST D AMBIERE,5,4999,915520,Inconnu
2021,H2b,Nouvelle-Aquitaine,Haute-Vienne,LIMOGES,3,5541,621719,Electricite
2021,H2c,Hauts-de-France,Aisne,SAINT QUENTIN,4,460,37451,Electricite
2021,H2c,Bretagne,Ille-et-Vilaine,CESSON SEVIGNE,3,626,40944,Electricite
