annee_consommation,zone_climatique,nom_region,nom_departement,nom_commune,nombre_declaration,surface_declaree,consommation_declaree,vecteur_energie,coordonnees_gps,densite_energetique,consommation_log,consommation_etat
2021,H1a,Île-de-France,Essonne,SAINT JEAN DE BEAUREGARD,4,651,117630,Electricite,"(48.6633406, 2.1694739)",180.69124423963135,11.67530788515103,Normale
2021,H1a,Île-de-France,Essonne,VERT LE GRAND,3,8627,3034313,Inconnu,"(48.5740125, 2.3593984)",351.7228468760867,14.925495927273147,Normale
2021,H1a,Île-de-France,Val-de-Marne,PARIS,3,32745,5984623,Inconnu,"(48.8534951, 2.3483915)",182.76448312719498,15.604704071274735,Normale
2021,H1a,Île-de-France,Val-d'Oise,BONNEUIL EN FRANCE,5,65561,4291752,Electricite,"(48.9748734, 2.4332879)",65.46196671801833,15.272205832148485,Normale
2021,H1a,Île-de-France,Val-d'Oise,MERIEL,3,9177,1682569,Inconnu,"(49.0790561, 2.2048038)",183.34630053394355,14.335832944390395,Normale
2021,H1a,Île-de-France,Val-d'Oise,MONTSOULT,4,79165,21245836,Inconnu,"(49.0704484, 2.312001)",268.37410471799404,16.871671528260283,Normale
2021,H1a,Centre-Val de Loire,Eure-et-Loir,BREZOLLES,3,8315,728516,Inconnu,"(48.6915319, 1.0760461)",87.61467227901383,13.498766239966265,Normale
2021,H1a,Centre-Val de Loire,Eure-et-Loir,TOURY,3,6741,648630,Inconnu,"(48.1962708, 1.9363143)",96.22162883845127,13.38261926696451,Normale
2021,H1a,Normandie,Calvados,PERIERS EN AUGE,3,3548,254555,Electricite,"(49.2572222, -0.0783333)",71.74605411499437,12.44727613006035,Normale
2021,H1a,Normandie,Calvados,SAINT MARTIN DES ENTREES,3,14037,3003133,Electricite,"(49.2681582, -0.6728343)",213.94407636959465,14.915166968014555,Normale
2021,H1a,Normandie,Calvados,TREVIERES,3,3627,351035,Inconnu,"(49.3084948, -0.9047281)",96.78384339674662,12.768644061291228,Normale
2021,H1a,Normandie,Eure,PONT DE L ARCHE,3,7132,811047,Inconnu,"(49.3049098, 1.1562938)",113.71943353897925,13.606082517536006,Normale
2021,H1a,Normandie,Orne,RIVES D ANDAINE,3,8677,2597419,Inconnu,"(48.5352175, -0.46728879827175207)",299.34528062694477,14.770029202636183,Normale
2021,H1a,Normandie,Seine-Maritime,BRETTEVILLE DU GRAND CAUX,3,3822,902140,Inconnu,"(49.6629465, 0.3922726)",236.03872318158034,13.71252610611864,Normale
2021,H1a,Normandie,Seine-Maritime,PISSY POVILLE,6,5716,708847,Electricite,"(49.5294347, 0.9919251)",124.01102169349195,13.4713963960704,Normale
2021,H1a,Normandie,Seine-Maritime,SAINT PIERRE DE VARENGEVILLE,3,7975,979870,Inconnu,"(49.5020498, 0.9284353)",122.86771159874608,13.795176209329355,Normale
2021,H1a,Normandie,Seine-Maritime,SAINT SAENS,3,16098,4214732,Inconnu,"(49.6724119, 1.2830403)",261.81712013914773,15.254096802215972,Normale
2021,H1a,Hauts-de-France,Oise,LA CHAPELLE EN SERVAL,4,14116,2350690,Inconnu,"(49.122, 2.52775)",166.5266364409181,14.670219885451495,Normale
2021,H1a,Hauts-de-France,Oise,MILLY SUR THERAIN,4,1055,308567,Electricite,"(49.5032677, 1.9957762)",292.48056872037915,12.639697519432195,Normale
2021,H1a,Hauts-de-France,Pas-de-Calais,FRESNES LES MONTAUBAN,11,6560,705453,Electricite,"(50.3329457, 2.9304367)",107.53856707317073,13.466596846164856,Normale
2021,H1a,Hauts-de-France,Pas-de-Calais,LE WAST,3,3869,335112,Inconnu,"(50.7502914, 1.8021177)",86.61462910312743,12.722223067362654,Normale
2021,H1a,Hauts-de-France,Pas-de-Calais,WIMILLE,3,16245,3542781,Inconnu,"(50.7641091, 1.6303277)",218.08439519852263,15.08042285217755,Normale
2021,H1a,Grand-Est,Marne,BETHENY,4,16741,820013,Electricite,"(49.2845383, 4.0535127)",48.982318857893794,13.617076692265423,Normale
2021,H1a,Bretagne,Ille-et-Vilaine,NOYAL SUR VILAINE,3,46525,5738797,Electricite,"(48.1140789, -1.5234735)",123.34867275658249,15.562760338701397,Normale
2021,H1a,Nouvelle-Aquitaine,Vienne,CHASSENEUIL DU POITOU,3,8422,988800,Inconnu,"(46.6505634, 0.3748389)",117.4067917359297,13.804248377011913,Normale
2021,H1a,Auvergne-Rhône-Alpes,Rhône,LYON 03,5,11503,1026737,Electricite,"(45.7578137, 4.8320114)",89.25819351473528,13.841897344387469,Normale
2021,H1b,Centre-Val de Loire,Loiret,DORDIVES,4,7185,1228058,Inconnu,"(48.1466, 2.77275)",170.9196938065414,14.020945432137678,Normale
2021,H1b,Centre-Val de Loire,Loiret,SAINT PERE SUR LOIRE,3,14541,2917343,Inconnu,"(47.7748215, 2.3718156)",200.62877381197993,14.886184171276236,Normale
2021,H1b,Bourgogne-Franche-Comté,Haute-Saône,JUSSEY,3,7462,1648929,Electricite,"(47.8251954, 5.9029154)",220.97681586705977,14.315637150671032,Normale
2021,H1b,Bourgogne-Franche-Comté,Yonne,BLENEAU,3,5801,1101182,Inconnu,"(47.7005149, 2.948338)",189.82623685571454,13.911895614427104,Normale
2021,H1b,Grand-Est,Meurthe-et-Moselle,CONFLANS EN JARNISY,4,4290,405691,Electricite,"(49.1664802, 5.8564321)",94.56666666666666,12.913349529995926,Normale
2021,H1b,Grand-Est,Meuse,VASSINCOURT,3,8400,1708524,Fioul,"(48.8033892, 5.0282803)",203.3957142857143,14.351140983149186,Normale
2021,H1b,Grand-Est,Moselle,REDING,3,3519,248750,Electricite,"(48.7448986, 7.0977176)",70.68769536800227,12.42420767511326,Normale
2021,H1b,Grand-Est,Bas-Rhin,HUTTENHEIM,3,7190,1042146,Inconnu,"(48.3589814, 7.580719)",144.94381084840055,13.856793566201373,Normale
2021,H1b,Grand-Est,Bas-Rhin,KILSTETT,6,583,86760,Electricite,"(48.6749481, 7.8573782)",148.8164665523156,11.370912490923256,Normale
